Package;Complexity;Number of statements;Number of types;Number of methods;Average class complexity;Average method complexity;Path
de.bsmgmbh.model.anacredit.accounting;5;6;5;1;1;5;E:\workspace\java\finance.egp.parentegp-parent-sb2\EGPAdapterCore\src\main\java\de\bsmgmbh\model\anacredit\accounting
de.bsmgmbh.core.batch.step.bais2rer;4;78;3;32;1.33;0.12;E:\workspace\java\finance.egp.parentegp-parent-sb2\EGPAdapterCore\src\main\java\de\bsmgmbh\core\batch\step\bais2rer
de.bsmgmbh.persistence.dao.provider.counterparty;3;143;11;14;0.27;0.21;E:\workspace\java\finance.egp.parentegp-parent-sb2\EGPAdapterCore\src\main\java\de\bsmgmbh\persistence\dao\provider\counterparty
de.bsmgmbh.util;2;3;2;2;1;1;E:\workspace\java\finance.egp.parentegp-parent-sb2\EGPAdapterDeliverySync\src\main\java\de\bsmgmbh\util
de.bsmgmbh.persistence.dao.provider.collateral;2;35;4;6;0.5;0.33;E:\workspace\java\finance.egp.parentegp-parent-sb2\EGPAdapterCore\src\main\java\de\bsmgmbh\persistence\dao\provider\collateral
de.bsmgmbh;2;12;1;5;2;0.4;E:\workspace\java\finance.egp.parentegp-parent-sb2\EGPAdapterCLI\src\main\java\de\bsmgmbh
de.bsmgmbh.persistence.dao.provider.credit;1;4;1;2;1;0.5;E:\workspace\java\finance.egp.parentegp-parent-sb2\EGPAdapterCore\src\main\java\de\bsmgmbh\persistence\dao\provider\credit
de.bsmgmbh.persistence.dao.provider.accounting;1;27;2;3;0.5;0.33;E:\workspace\java\finance.egp.parentegp-parent-sb2\EGPAdapterCore\src\main\java\de\bsmgmbh\persistence\dao\provider\accounting
de.bsmgmbh.persistence.dao.surrogate;0;14;14;14;0;0;E:\workspace\java\finance.egp.parentegp-parent-sb2\EGPAdapterCore\src\main\java\de\bsmgmbh\persistence\dao\surrogate
de.bsmgmbh.model.anacredit.credit;0;0;2;0;0;0;E:\workspace\java\finance.egp.parentegp-parent-sb2\EGPAdapterCore\src\main\java\de\bsmgmbh\model\anacredit\credit
de.bsmgmbh.batch.framework;0;9;4;9;0;0;E:\workspace\java\finance.egp.parentegp-parent-sb2\EGPAdapterBatch\src\main\java\de\bsmgmbh\batch\framework
de.bsmgmbh.batch.listener;0;13;4;10;0;0;E:\workspace\java\finance.egp.parentegp-parent-sb2\EGPAdapterBatch\src\main\java\de\bsmgmbh\batch\listener
de.bsmgmbh.model;0;0;15;0;0;0;E:\workspace\java\finance.egp.parentegp-parent-sb2\EGPAdapterDeliverySync\src\main\java\de\bsmgmbh\model
de.bsmgmbh.common;0;2;4;1;0;0;E:\workspace\java\finance.egp.parentegp-parent-sb2\EGPAdapterCommon\src\main\java\de\bsmgmbh\common
de.bsmgmbh.common.request;0;2;3;1;0;0;E:\workspace\java\finance.egp.parentegp-parent-sb2\EGPAdapterCommon\src\main\java\de\bsmgmbh\common\request
de.bsmgmbh.model.anacredit.adjustment;0;0;1;0;0;0;E:\workspace\java\finance.egp.parentegp-parent-sb2\EGPAdapterCore\src\main\java\de\bsmgmbh\model\anacredit\adjustment
de.bsmgmbh.model.anacredit.client;0;0;1;0;0;0;E:\workspace\java\finance.egp.parentegp-parent-sb2\EGPAdapterCore\src\main\java\de\bsmgmbh\model\anacredit\client
de.bsmgmbh.model.anacredit.permission;0;0;1;0;0;0;E:\workspace\java\finance.egp.parentegp-parent-sb2\EGPAdapterCore\src\main\java\de\bsmgmbh\model\anacredit\permission
de.bsmgmbh.model.anacredit.defaults;0;0;2;0;0;0;E:\workspace\java\finance.egp.parentegp-parent-sb2\EGPAdapterCore\src\main\java\de\bsmgmbh\model\anacredit\defaults
de.bsmgmbh.persistence.dao.provider.transaction;0;52;2;2;0;0;E:\workspace\java\finance.egp.parentegp-parent-sb2\EGPAdapterCore\src\main\java\de\bsmgmbh\persistence\dao\provider\transaction
de.bsmgmbh.model.anacredit.status;0;0;3;0;0;0;E:\workspace\java\finance.egp.parentegp-parent-sb2\EGPAdapterCore\src\main\java\de\bsmgmbh\model\anacredit\status
de.bsmgmbh.persistence.dao.mapper.accounting;0;1;1;1;0;0;E:\workspace\java\finance.egp.parentegp-parent-sb2\EGPAdapterCore\src\main\java\de\bsmgmbh\persistence\dao\mapper\accounting
de.bsmgmbh.persistence.dao.mapper.collateral;0;2;2;2;0;0;E:\workspace\java\finance.egp.parentegp-parent-sb2\EGPAdapterCore\src\main\java\de\bsmgmbh\persistence\dao\mapper\collateral
de.bsmgmbh.persistence.dao.mapper.counterparty;0;6;6;6;0;0;E:\workspace\java\finance.egp.parentegp-parent-sb2\EGPAdapterCore\src\main\java\de\bsmgmbh\persistence\dao\mapper\counterparty
de.bsmgmbh.protocol.domain;0;0;1;0;0;0;E:\workspace\java\finance.egp.parentegp-parent-sb2\EGPAdapterCore\src\main\java\de\bsmgmbh\protocol\domain
de.bsmgmbh.persistence.dao.provider.status;0;12;2;2;0;0;E:\workspace\java\finance.egp.parentegp-parent-sb2\EGPAdapterCore\src\main\java\de\bsmgmbh\persistence\dao\provider\status
de.bsmgmbh.persistence.dao.mapper.transaction;0;1;1;1;0;0;E:\workspace\java\finance.egp.parentegp-parent-sb2\EGPAdapterCore\src\main\java\de\bsmgmbh\persistence\dao\mapper\transaction
